id,university_id,university,campus_name,campus_address,department,country,city,degree,language,status,status_color,years,fees,discount_fees,cash_fees,deposit_fee,currency,fees_note,prep_school_fee
2387,32,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",البيولوجيا الجزيئية وعلم الوراثة,تركيا,إسطنبول,ماجستير مع أطروحة,التركية,متاح,#28D094,2026-2027,4000,4000,4000,2000,USD,-,1250
2386,32,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",الهندسة الطبية الحيوية,تركيا,إسطنبول,ماجستير بدون أطروحة,التركية,متاح,#28D094,2026-2027,3500,3500,3500,1750,USD,-,1250
2385,32,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",الهندسة الطبية الحيوية,تركيا,إسطنبول,ماجستير مع أطروحة,التركية,متاح,#28D094,2026-2027,4000,4000,4000,2000,USD,-,1250
2384,32,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",العلوم السياسية والعلاقات الدولية,تركيا,إسطنبول,دكتوراه,التركية,متاح,#28D094,2026-2027,9000,9000,9000,4500,USD,-,1250
2383,32,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",اللغة الإنجليزية وآدابها,تركيا,إسطنبول,دكتوراه,الإنجليزية,متاح,#28D094,2026-2027,9000,9000,9000,4500,USD,-,9000
2382,32,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",دراسات الترجمة,تركيا,إسطنبول,ماجستير مع أطروحة,التركية,متاح,#28D094,2026-2027,4000,4000,4000,2000,USD,-,1250
2381,32,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",الأدب الأنجلو أمريكي والكتابة الإبداعية,تركيا,إسطنبول,ماجستير بدون أطروحة,التركية,متاح,#28D094,2026-2027,3500,3500,3500,1750,USD,-,1250
2380,32,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",الأدب الأنجلو أمريكي والكتابة الإبداعية,تركيا,إسطنبول,ماجستير مع أطروحة,التركية,متاح,#28D094,2026-2027,4000,4000,4000,2000,USD,-,1250
2379,32,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",إدارة الأعمال,تركيا,إسطنبول,ماجستير بدون أطروحة,التركية,متاح,#28D094,2026-2027,3500,3500,3500,1750,USD,-,1250
2378,32,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",إدارة الأعمال,تركيا,إسطنبول,ماجستير مع أطروحة,التركية,متاح,#28D094,2026-2027,4000,4000,4000,2000,USD,-,1250
2377,32,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",الاقتصاد والمالية,تركيا,إسطنبول,ماجستير بدون أطروحة,التركية,متاح,#28D094,2026-2027,3500,3500,3500,1750,USD,-,1250
