type,id,university,campus_name,campus_address,department_or_scope,country,city,degree,language,status,years,fees,discount_fees_or_price,cash_fees,deposit_fee,currency,notes,extra
program,2387,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",البيولوجيا الجزيئية وعلم الوراثة,تركيا,إسطنبول,ماجستير مع أطروحة,التركية,متاح,2026-2027,4000,4000,4000,2000,USD,-,1250
program,2386,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",الهندسة الطبية الحيوية,تركيا,إسطنبول,ماجستير بدون أطروحة,التركية,متاح,2026-2027,3500,3500,3500,1750,USD,-,1250
program,2385,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",الهندسة الطبية الحيوية,تركيا,إسطنبول,ماجستير مع أطروحة,التركية,متاح,2026-2027,4000,4000,4000,2000,USD,-,1250
program,2384,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",العلوم السياسية والعلاقات الدولية,تركيا,إسطنبول,دكتوراه,التركية,متاح,2026-2027,9000,9000,9000,4500,USD,-,1250
program,2383,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",اللغة الإنجليزية وآدابها,تركيا,إسطنبول,دكتوراه,الإنجليزية,متاح,2026-2027,9000,9000,9000,4500,USD,-,9000
program,2382,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",دراسات الترجمة,تركيا,إسطنبول,ماجستير مع أطروحة,التركية,متاح,2026-2027,4000,4000,4000,2000,USD,-,1250
program,2381,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",الأدب الأنجلو أمريكي والكتابة الإبداعية,تركيا,إسطنبول,ماجستير بدون أطروحة,التركية,متاح,2026-2027,3500,3500,3500,1750,USD,-,1250
program,2380,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",الأدب الأنجلو أمريكي والكتابة الإبداعية,تركيا,إسطنبول,ماجستير مع أطروحة,التركية,متاح,2026-2027,4000,4000,4000,2000,USD,-,1250
program,2379,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",إدارة الأعمال,تركيا,إسطنبول,ماجستير بدون أطروحة,التركية,متاح,2026-2027,3500,3500,3500,1750,USD,-,1250
program,2378,جامعة يني يوزيل,Topkapı Dr. Azmi Ofluoğlu Campus,"Maltepe Mahallesi, Yılanlı Ayazma Caddesi, No: 26 P.K. 34010 Cevizlibağ / Zeytinburnu / İstanbul",إدارة الأعمال,تركيا,إسطنبول,ماجستير مع أطروحة,التركية,متاح,2026-2027,4000,4000,4000,2000,USD,-,1250
